AthleteID;Name;Sex;CountryID
84;"Stephen Anthony Abas";"M";27
142;"David ""Dave"" Abbott";"M";27
256;"Abdihakim ""Abdi"" Abdirahman";"M";27
256;"Abdihakim ""Abdi"" Abdirahman";"M";27
256;"Abdihakim ""Abdi"" Abdirahman";"M";27
256;"Abdihakim ""Abdi"" Abdirahman";"M";27
323;"Aquil Hashim Abdullah (Shumate-)";"M";27
351;"Julius Shareef Abdur-Rahim";"M";27
404;"Louis Grenville ""Lou"" Abell";"M";27
423;"Michael Brent Abernathy";"M";27
454;"Edgar Allen ""Ed"" Ablowich";"M";27
524;"Donald Robert Abrahamson, Jr.";"M";27
525;"Richard Neal Abrahamson";"M";27
525;"Richard Neal Abrahamson";"M";27
531;"Fletcher Abram, Jr.";"M";27
585;"Brian Kenneth Abshire";"M";27
642;"Ervin S. Acel";"M";27
699;"Charles Edwin ""Charley"" Ackerly";"M";27
762;"Gordon Belgum ""Gordy"" Adam";"M";27
806;"Bartlett S. ""Bart"" Adams";"M";27
807;"Benjamin Willard ""Ben"" Adams";"M";27
807;"Benjamin Willard ""Ben"" Adams";"M";27
813;"Edgar Holmes Adams";"M";27
813;"Edgar Holmes Adams";"M";27
813;"Edgar Holmes Adams";"M";27
813;"Edgar Holmes Adams";"M";27
813;"Edgar Holmes Adams";"M";27
818;"Harry Lester Adams";"M";27
818;"Harry Lester Adams";"M";27
818;"Harry Lester Adams";"M";27
818;"Harry Lester Adams";"M";27
818;"Harry Lester Adams";"M";27
829;"Morgan Orlando Adams, Jr.";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
836;"Platt Adams";"M";27
842;"Wayman Elbridge Adams";"M";27
844;"William Edward ""Willie"" Adams";"M";27
855;"James Nicholas ""Nick"" Adamson";"M";27
891;"William Harold Ade";"M";27
961;"Bradley Don ""Brad"" Adkins";"M";27
962;"Charles ""Chuck"" Adkins";"M";27
963;"Derrick Ralph Adkins";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1017;"Nathan Ghar-Jun Adrian";"M";27
1028;"Fredua Koranteng ""Freddy"" Adu";"M";27
1122;"Andre Kirk Agassi";"M";27
1122;"Andre Kirk Agassi";"M";27
1137;"William Ashby ""Bill"" Agee";"M";27
1139;"Craig John Agena";"M";27
1178;"Jeffrey Allan ""Jeff"" Agoos";"M";27
1321;"Daniel William ""Dan"" Ahearn (Ahearne-)";"M";27
1339;"William Alexander (Wilhelm Alexander-) Ahlemeyer";"M";27
1350;"George Lewis Ahlgren";"M";27
1444;"Christian ""Chris"" Ahrens";"M";27
1444;"Christian ""Chris"" Ahrens";"M";27
1500;"Kurt Harold Ainsworth";"M";27
1533;"Robert ""Bobby"" Aitken, Jr.";"M";27
1536;"Robert Ingersoll Aitken";"M";27
2293;"William Everett ""Bill"" Albans";"M";27
2385;"Christopher John ""Chris"" Albright";"M";27
2387;"David Donald ""Dave"" Albritton";"M";27
2411;"David Alcoriza";"M";27
2412;"Kyle Scott Alcorn";"M";27
2440;"Frederick Pitt ""Fred"" Alderman";"M";27
2449;"William Truman Aldrich";"M";27
2552;"Hugh Vincenzo Alessandroni";"M";27
2552;"Hugh Vincenzo Alessandroni";"M";27
2552;"Hugh Vincenzo Alessandroni";"M";27
2568;"Gary Joseph Alexander";"M";27
2636;"Stephen Todd ""Steve"" Alford";"M";27
2697;"Sadam Ali";"M";27
2781;"Robert Jeffrey ""Jeff"" Alkire, II";"M";27
2806;"Scott Hazzard Allan";"M";27
2832;"William Charles ""Bill"" Allen";"M";27
2833;"John Chad Allen";"M";27
2836;"Claude Arthur Allen";"M";27
2838;"Devon Allen";"M";27
2840;"Frederick Harold ""Fred"" Allen";"M";27
2841;"Francis E. ""Fritz"" Allen";"M";27
2842;"Henry Woodward ""Harry"" Allen";"M";27
2844;"Henry Tureman Allen, Jr.";"M";27
2847;"John William Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2848;"James Kanati Allen";"M";27
2853;"Lee Dale Allen";"M";27
2853;"Lee Dale Allen";"M";27
2859;"Michael Gary ""Mike"" Allen";"M";27
2863;"Walter Ray Allen";"M";27
2865;"Rock Allen";"M";27
2868;"Russell D. Allen";"M";27
2871;"Terence de la Mesa ""Terry"" Allen";"M";27
2874;"Wyatt Allen";"M";27
2874;"Wyatt Allen";"M";27
2886;"Francis William ""Bill"" Alley";"M";27
2905;"John Cotton Allis";"M";27
2905;"John Cotton Allis";"M";27
2905;"John Cotton Allis";"M";27
2905;"John Cotton Allis";"M";27
2906;"Louis Allis";"M";27
2911;"Philip Whalley Allison";"M";27
2916;"Yari Allnutt";"M";27
2937;"Charles Pfeiffer ""Chuck"" Alm";"M";27
3078;"John Kirby Alstrom";"M";27
3089;"Charles Ernest Brenton ""Charlie"" Altekruse (-Banks)";"M";27
3090;"Charles William ""Charlie"" Altemose";"M";27
3101;"Josmer Volmy ""Jozy"" Altidore";"M";27
3107;"Michael ""Mike"" Altman";"M";27
3230;"Norman Foster Darrell ""Norm"" Alvis";"M";27
3265;"Anthony Stanley Amado";"M";27
3277;"Charles Aman";"M";27
3298;"Larry J. Amar";"M";27
3466;"Joseph Brian ""Joe"" Amlong";"M";27
3467;"Thomas Kennedy ""Tom"" Amlong";"M";27
3490;"Benjamin Edward ""Ben"" Amonette";"M";27
3490;"Benjamin Edward ""Ben"" Amonette";"M";27
3490;"Benjamin Edward ""Ben"" Amonette";"M";27
3490;"Benjamin Edward ""Ben"" Amonette";"M";27
3532;"Omar Amr";"M";27
3642;"Lawrence Joseph ""Larry"" Anastasi";"M";27
3642;"Lawrence Joseph ""Larry"" Anastasi";"M";27
3642;"Lawrence Joseph ""Larry"" Anastasi";"M";27
3642;"Lawrence Joseph ""Larry"" Anastasi";"M";27
3669;"William Peter Andelfinger";"M";27
3669;"William Peter Andelfinger";"M";27
3669;"William Peter Andelfinger";"M";27
3797;"Brett Franklin Anderson";"M";27
3799;"Charles Howard Anderson";"M";27
3799;"Charles Howard Anderson";"M";27
3812;"Edwin Lamont ""Ed"" Anderson";"M";27
3812;"Edwin Lamont ""Ed"" Anderson";"M";27
3815;"Gary Lee Anderson";"M";27
3815;"Gary Lee Anderson";"M";27
3815;"Gary Lee Anderson";"M";27
3821;"Hershel Lee Anderson";"M";27
3821;"Hershel Lee Anderson";"M";27
3822;"Isaac J. ""Ike"" Anderson";"M";27
3828;"John Franklin Anderson";"M";27
3828;"John Franklin Anderson";"M";27
3830;"John Justin Anderson";"M";27
