CountryID;Country
1;"China"
2;"Denmark"
3;"Netherlands"
4;"Finland"
5;"Norway"
6;"Romania"
7;"Estonia"
8;"France"
9;"Morocco"
10;"Spain"
11;"Egypt"
12;"Iran"
13;"Bulgaria"
14;"Italy"
15;"Chad"
16;"Azerbaijan"
17;"Sudan"
18;"Russia"
19;"Argentina"
20;"Cuba"
21;"Belarus"
22;"Greece"
23;"Cameroon"
24;"Turkey"
25;"Chile"
26;"Mexico"
27;"USA"
28;"Nicaragua"
29;"Hungary"
30;"Nigeria"
31;"Algeria"
32;"Kuwait"
33;"Bahrain"
34;"Pakistan"
35;"Iraq"
36;"Syria"
37;"Lebanon"
38;"Qatar"
39;"Malaysia"
40;"Canada"
41;"Ireland"
42;"Australia"
43;"South Africa"
44;"Eritrea"
45;"Tanzania"
46;"Jordan"
47;"Tunisia"
48;"Libya"
49;"Belgium"
50;"Djibouti"
51;"Palestine"
52;"Comoros"
53;"Kazakhstan"
54;"Brunei"
55;"India"
56;"Saudi Arabia"
57;"Maldives"
58;"Ethiopia"
59;"United Arab Emirates"
60;"Yemen"
61;"Indonesia"
62;"Philippines"
63;"Uzbekistan"
64;"Kyrgyzstan"
65;"Tajikistan"
66;"Japan"
67;"Republic of Congo"
68;"Switzerland"
69;"Brazil"
70;"Germany"
71;"Monaco"
72;"Israel"
73;"Uruguay"
74;"Sweden"
75;"Sri Lanka"
76;"Armenia"
77;"Ivory Coast"
78;"Kenya"
79;"Benin"
80;"UK"
81;"Ghana"
82;"Somalia"
83;"Niger"
84;"Mali"
85;"Afghanistan"
86;"Poland"
87;"Costa Rica"
88;"Panama"
89;"Georgia"
90;"Slovenia"
91;"Guyana"
92;"New Zealand"
93;"Portugal"
94;"Paraguay"
95;"Angola"
96;"Venezuela"
97;"Colombia"
98;"Bangladesh"
99;"Peru"
100;"El Salvador"
101;"Puerto Rico"
102;"Uganda"
103;"Honduras"
104;"Ecuador"
105;"Turkmenistan"
106;"Mauritius"
107;"Seychelles"
108;"Czech Republic"
109;"Luxembourg"
110;"Mauritania"
111;"Saint Kitts"
112;"Trinidad"
113;"Dominican Republic"
114;"Saint Vincent"
115;"Jamaica"
116;"Liberia"
117;"Suriname"
118;"Nepal"
119;"Mongolia"
120;"Austria"
121;"Palau"
122;"Lithuania"
123;"Togo"
124;"Namibia"
125;"Curacao"
126;"Ukraine"
127;"Iceland"
128;"American Samoa"
129;"Samoa"
130;"Rwanda"
131;"Croatia"
132;"Dominica"
133;"Haiti"
134;"Malta"
135;"Cyprus"
136;"Guinea"
137;"Belize"
138;"Thailand"
139;"Bermuda"
140;"Serbia"
141;"Sierra Leone"
142;"Papua New Guinea"
143;"Individual Olympic Athletes"
144;"Oman"
145;"Fiji"
146;"Vanuatu"
147;"Moldova"
148;"Bahamas"
149;"Guatemala"
150;"Latvia"
151;"Virgin Islands, British"
152;"Mozambique"
153;"Virgin Islands, US"
154;"Central African Republic"
155;"Madagascar"
156;"Bosnia and Herzegovina"
157;"Guam"
158;"Cayman Islands"
159;"Slovakia"
160;"Barbados"
161;"Guinea-Bissau"
162;"Timor-Leste"
163;"Democratic Republic of the Congo"
164;"Gabon"
165;"San Marino"
166;"Laos"
167;"Botswana"
168;""
169;"South Korea"
170;"Cambodia"
171;"North Korea"
172;"Solomon Islands"
173;"Senegal"
174;"Cape Verde"
175;"Equatorial Guinea"
176;"Boliva"
177;"Antigua"
178;"Andorra"
179;"Zimbabwe"
180;"Grenada"
181;"Saint Lucia"
182;"Micronesia"
183;"Myanmar"
184;"Malawi"
185;"Zambia"
186;"Taiwan"
187;"Sao Tome and Principe"
188;"Macedonia"
189;"Liechtenstein"
190;"Montenegro"
191;"Gambia"
192;"Cook Islands"
193;"Albania"
194;"Swaziland"
195;"Burkina Faso"
196;"Burundi"
197;"Aruba"
198;"Nauru"
199;"Vietnam"
200;"Bhutan"
201;"Marshall Islands"
202;"Kiribati"
203;"Tonga"
204;"Kosovo"
205;"South Sudan"
206;"Lesotho"
