EventID;Event;SportID
4;"Athletics Women's 100 metres";4
5;"Athletics Women's 4 x 100 metres Relay";4
6;"Athletics Men's Shot Put";4
7;"Athletics Men's Pole Vault";4
8;"Athletics Men's High Jump";4
9;"Athletics Men's 1,500 metres";4
45;"Athletics Men's 4 x 100 metres Relay";4
46;"Athletics Men's Long Jump";4
48;"Athletics Women's Javelin Throw";4
52;"Athletics Men's 5,000 metres";4
75;"Athletics Women's Shot Put";4
79;"Athletics Men's 110 metres Hurdles";4
81;"Athletics Women's Marathon";4
82;"Athletics Men's 100 metres";4
93;"Athletics Men's 400 metres Hurdles";4
94;"Athletics Men's 400 metres";4
95;"Athletics Men's Hammer Throw";4
97;"Athletics Men's 800 metres";4
116;"Athletics Men's Marathon";4
117;"Athletics Men's 4 x 400 metres Relay";4
118;"Athletics Men's 10,000 metres";4
119;"Athletics Women's 3,000 metres";4
122;"Athletics Men's 200 metres";4
137;"Athletics Men's Javelin Throw";4
141;"Athletics Men's 3,000 metres Steeplechase";4
149;"Athletics Women's 200 metres";4
155;"Athletics Men's Triple Jump";4
157;"Athletics Women's Long Jump";4
168;"Athletics Women's 5,000 metres";4
171;"Athletics Men's Discus Throw";4
191;"Athletics Women's 10,000 metres";4
194;"Athletics Men's Decathlon";4
196;"Athletics Women's Discus Throw";4
198;"Athletics Women's 1,500 metres";4
206;"Athletics Women's Pole Vault";4
210;"Athletics Women's 4 x 400 metres Relay";4
216;"Athletics Women's 800 metres";4
222;"Athletics Women's 400 metres";4
226;"Athletics Men's Javelin Throw, Both Hands";4
230;"Athletics Women's 400 metres Hurdles";4
238;"Athletics Women's Pentathlon";4
249;"Athletics Women's High Jump";4
260;"Athletics Men's Standing High Jump";4
261;"Athletics Men's Standing Long Jump";4
262;"Athletics Men's 20 kilometres Walk";4
275;"Athletics Men's 50 kilometres Walk";4
280;"Athletics Women's 100 metres Hurdles";4
281;"Athletics Men's Discus Throw, Greek Style";4
320;"Athletics Women's Heptathlon";4
347;"Athletics Women's 3,000 metres Steeplechase";4
348;"Athletics Men's Shot Put, Both Hands";4
352;"Athletics Men's 10 kilometres Walk";4
353;"Athletics Women's 20 kilometres Walk";4
354;"Athletics Women's 80 metres Hurdles";4
381;"Athletics Women's Triple Jump";4
389;"Athletics Women's 10 kilometres Walk";4
404;"Athletics Men's Cross-Country, Individual";4
405;"Athletics Men's Cross-Country, Team";4
416;"Athletics Men's 3,000 metres, Team";4
441;"Athletics Men's Pentathlon";4
451;"Athletics Men's 3,000 metres Walk";4
486;"Athletics Women's Hammer Throw";4
490;"Athletics Men's 3,200 metres Steeplechase";4
492;"Athletics Men's Javelin Throw, Freestyle";4
501;"Athletics Men's 5 mile";4
515;"Athletics Men's 1,600 metres Medley Relay";4
517;"Athletics Men's 60 metres";4
523;"Athletics Men's 3 mile, Team";4
530;"Athletics Men's 3,500 metres Walk";4
537;"Athletics Men's 10 mile Walk";4
538;"Athletics Men's Discus Throw, Both Hands";4
543;"Athletics Men's 200 metres Hurdles";4
544;"Athletics Men's 56-pound Weight Throw";4
546;"Athletics Men's All-Around Championship";4
551;"Athletics Men's 2,590 metres Steeplechase";4
553;"Athletics Men's 4 mile, Team";4
562;"Athletics Men's Standing Triple Jump";4
42;"Shooting Men's Small-Bore Rifle, Prone, 50 metres";18
43;"Shooting Men's Rapid-Fire Pistol, 25 metres";18
44;"Shooting Men's Trap";18
72;"Shooting Mixed Skeet";18
80;"Shooting Mixed Trap";18
121;"Shooting Men's Air Rifle, 10 metres";18
129;"Shooting Men's Free Pistol, 50 metres";18
130;"Shooting Men's Air Pistol, 10 metres";18
135;"Shooting Women's Air Rifle, 10 metres";18
152;"Shooting Men's Skeet";18
154;"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres";18
199;"Shooting Women's Air Pistol, 10 metres";18
200;"Shooting Women's Sporting Pistol, 25 metres";18
204;"Shooting Men's Running Target, 50 metres";18
268;"Shooting Men's Free Rifle, Three Positions, 300 metres";18
269;"Shooting Men's Military Rifle, Three Positions, 300 metres";18
270;"Shooting Men's Military Rifle, Any Position, 600 metres";18
271;"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team";18
272;"Shooting Men's Military Rifle, Prone, 300 metres";18
287;"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team";18
295;"Shooting Men's Running Target, Single Shot";18
296;"Shooting Men's Running Target, Double Shot";18
307;"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres";18
308;"Shooting Mixed Small-Bore Rifle, Prone, 50 metres";18
311;"Shooting Men's Free Pistol, 50 metres, Team";18
312;"Shooting Men's Free Rifle, Three Positions, 300 metres, Team";18
313;"Shooting Men's Military Rifle, Prone, 300 metres, Team";18
314;"Shooting Men's Military Rifle, Prone, 600 metres, Team";18
315;"Shooting Men's Military Rifle, Standing, 300 metres, Team";18
316;"Shooting Men's Free Rifle, Prone, 600 metres";18
317;"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team";18
326;"Shooting Mixed Free Pistol, 50 metres";18
344;"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres";18
349;"Shooting Women's Trap";18
367;"Shooting Men's Double Trap";18
372;"Shooting Mixed Free Rifle, Three Positions, 300 metres";18
374;"Shooting Mixed Rapid-Fire Pistol, 25 metres";18
383;"Shooting Men's Dueling Pistol, 30 metres";18
399;"Shooting Men's Running Target, 10 metres";18
417;"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards";18
418;"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team";18
419;"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards";18
420;"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards";18
421;"Shooting Men's Military Pistol, Team";18
429;"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team";18
430;"Shooting Men's Running Target, Single And Double Shot";18
431;"Shooting Men's Small-Bore Rifle, Any Position, 50 metres";18
432;"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres";18
442;"Shooting Women's Skeet";18
