NOCID;NOC;CountryID
1;"CHN";1
194;"HKG";1
2;"DEN";2
3;"NED";3
4;"FIN";4
5;"NOR";5
6;"ROU";6
7;"EST";7
8;"FRA";8
9;"MAR";9
10;"ESP";10
11;"EGY";11
12;"IRI";12
13;"BUL";13
14;"ITA";14
15;"CHA";15
16;"AZE";16
17;"SUD";17
18;"RUS";18
28;"URS";18
68;"EUN";18
19;"ARG";19
20;"CUB";20
21;"BLR";21
22;"GRE";22
23;"CMR";23
24;"TUR";24
25;"CHI";25
26;"MEX";26
27;"USA";27
29;"NCA";28
30;"HUN";29
31;"NGR";30
32;"ALG";31
33;"KUW";32
34;"BRN";33
35;"PAK";34
36;"IRQ";35
37;"UAR";36
58;"SYR";36
38;"LIB";37
39;"QAT";38
40;"MAS";39
166;"MAL";39
41;"CAN";40
42;"IRL";41
43;"AUS";42
146;"ANZ";42
44;"RSA";43
45;"ERI";44
46;"TAN";45
47;"JOR";46
48;"TUN";47
49;"LBA";48
50;"BEL";49
51;"DJI";50
52;"PLE";51
53;"COM";52
54;"KAZ";53
55;"BRU";54
56;"IND";55
57;"KSA";56
59;"MDV";57
60;"ETH";58
61;"UAE";59
62;"YAR";60
143;"YMD";60
150;"YEM";60
63;"INA";61
64;"PHI";62
65;"UZB";63
66;"KGZ";64
67;"TJK";65
69;"JPN";66
70;"CGO";67
71;"SUI";68
72;"BRA";69
73;"GER";70
74;"GDR";70
102;"FRG";70
189;"SAA";70
75;"MON";71
76;"ISR";72
77;"URU";73
78;"SWE";74
79;"SRI";75
80;"ARM";76
81;"CIV";77
82;"KEN";78
83;"BEN";79
84;"GBR";80
85;"GHA";81
86;"SOM";82
87;"NIG";83
88;"MLI";84
89;"AFG";85
90;"POL";86
91;"CRC";87
92;"PAN";88
93;"GEO";89
94;"SLO";90
95;"GUY";91
96;"NZL";92
97;"POR";93
98;"PAR";94
99;"ANG";95
100;"VEN";96
101;"COL";97
103;"BAN";98
104;"PER";99
105;"ESA";100
106;"PUR";101
107;"UGA";102
108;"HON";103
109;"ECU";104
110;"TKM";105
111;"MRI";106
112;"SEY";107
113;"TCH";108
186;"CZE";108
204;"BOH";108
114;"LUX";109
115;"MTN";110
116;"SKN";111
117;"TTO";112
118;"DOM";113
119;"VIN";114
120;"JAM";115
121;"LBR";116
122;"SUR";117
123;"NEP";118
124;"MGL";119
125;"AUT";120
126;"PLW";121
127;"LTU";122
128;"TOG";123
129;"NAM";124
130;"AHO";125
131;"UKR";126
132;"ISL";127
133;"ASA";128
134;"SAM";129
135;"RWA";130
136;"CRO";131
137;"DMA";132
138;"HAI";133
139;"MLT";134
140;"CYP";135
141;"GUI";136
142;"BIZ";137
144;"THA";138
145;"BER";139
147;"SCG";140
158;"YUG";140
160;"SRB";140
148;"SLE";141
149;"PNG";142
151;"IOA";143
152;"OMA";144
153;"FIJ";145
154;"VAN";146
155;"MDA";147
156;"BAH";148
157;"GUA";149
159;"LAT";150
161;"IVB";151
162;"MOZ";152
163;"ISV";153
164;"CAF";154
165;"MAD";155
167;"BIH";156
168;"GUM";157
169;"CAY";158
170;"SVK";159
171;"BAR";160
172;"GBS";161
173;"TLS";162
174;"COD";163
175;"GAB";164
176;"SMR";165
177;"LAO";166
178;"BOT";167
179;"ROT";168
180;"KOR";169
181;"CAM";170
182;"PRK";171
183;"SOL";172
184;"SEN";173
185;"CPV";174
187;"GEQ";175
188;"BOL";176
190;"ANT";177
191;"AND";178
192;"ZIM";179
200;"RHO";179
193;"GRN";180
195;"LCA";181
196;"FSM";182
197;"MYA";183
198;"MAW";184
199;"ZAM";185
201;"TPE";186
202;"STP";187
203;"MKD";188
205;"LIE";189
206;"MNE";190
207;"GAM";191
208;"COK";192
209;"ALB";193
210;"WIF";112
211;"SWZ";194
212;"BUR";195
213;"NBO";39
214;"BDI";196
215;"ARU";197
216;"NRU";198
217;"VNM";199
218;"VIE";199
219;"BHU";200
220;"MHL";201
221;"KIR";202
222;"UNK";168
223;"TUV";168
224;"TGA";203
225;"NFL";40
226;"KOS";204
227;"SSD";205
228;"LES";206
