SportID;Sport
1;"Basketball"
2;"Judo"
3;"Football"
4;"Athletics"
5;"Swimming"
6;"Badminton"
7;"Sailing"
8;"Gymnastics"
9;"Art Competitions"
10;"Handball"
11;"Weightlifting"
12;"Wrestling"
13;"Water Polo"
14;"Hockey"
15;"Rowing"
16;"Fencing"
17;"Equestrianism"
18;"Shooting"
19;"Boxing"
20;"Taekwondo"
21;"Cycling"
22;"Diving"
23;"Canoeing"
24;"Tennis"
25;"Modern Pentathlon"
26;"Softball"
27;"Archery"
28;"Volleyball"
29;"Synchronized Swimming"
30;"Table Tennis"
31;"Baseball"
32;"Rhythmic Gymnastics"
33;"Rugby Sevens"
34;"Trampolining"
35;"Beach Volleyball"
36;"Triathlon"
37;"Golf"
38;"Lacrosse"
39;"Polo"
40;"Tug-Of-War"
41;"Rugby"
42;"Ice Hockey"
43;"Racquets"
44;"Motorboating"
45;"Figure Skating"
46;"Jeu De Paume"
47;"Roque"
48;"Alpinism"
49;"Aeronautics"
