Decade;Sport;Country;athlete_count
1900;Archery;UK;41
1900;Archery;USA;29
1900;Archery;France;15
1900;Athletics;USA;154
1900;Athletics;UK;129
1900;Athletics;Canada;33
1900;Athletics;Sweden;31
1900;Athletics;Hungary;24
1900;Athletics;Germany;22
1900;Athletics;Greece;21
1900;Athletics;France;20
1900;Athletics;Netherlands;19
1900;Athletics;Finland;15
1900;Athletics;Italy;12
1900;Athletics;Norway;11
1900;Athletics;Australia;10
1900;Athletics;South Africa;9
1900;Athletics;Denmark;8
1900;Athletics;Belgium;6
1900;Athletics;Czech Republic;3
1900;Athletics;Austria;2
1900;Athletics;Switzerland;1
1900;Athletics;Cuba;1
1900;Athletics;Russia;1
1900;Boxing;UK;32
1900;Boxing;USA;18
1900;Boxing;France;7
1900;Boxing;Denmark;2
1900;Boxing;Ireland;1
1900;Boxing;Australia;1
1900;Cycling;UK;36
1900;Cycling;France;24
1900;Cycling;USA;19
1900;Cycling;Germany;9
1900;Cycling;Belgium;6
1900;Cycling;Italy;5
1900;Cycling;Netherlands;5
1900;Cycling;Canada;5
1900;Cycling;South Africa;4
1900;Cycling;Sweden;2
1900;Cycling;Greece;1
1900;Diving;UK;16
1900;Diving;Sweden;10
1900;Diving;Germany;8
1900;Diving;USA;4
1900;Diving;Finland;2
1900;Diving;Australia;1
1900;Diving;Belgium;1
1900;Diving;Canada;1
1900;Diving;Italy;1
1900;Fencing;UK;24
1900;Fencing;France;22
1900;Fencing;Belgium;18
1900;Fencing;Netherlands;13
1900;Fencing;Italy;12
1900;Fencing;Germany;11
1900;Fencing;Hungary;8
1900;Fencing;Denmark;8
1900;Fencing;Czech Republic;7
1900;Fencing;Sweden;7
1900;Fencing;USA;7
1900;Fencing;Cuba;2
1900;Fencing;Norway;1
1900;Fencing;Canada;1
1900;Fencing;South Africa;1
1900;Fencing;Austria;1
1900;Figure Skating;UK;11
1900;Figure Skating;Sweden;4
1900;Figure Skating;Germany;3
1900;Figure Skating;Russia;1
1900;Figure Skating;Argentina;1
1900;Figure Skating;USA;1
1900;Football;USA;23
1900;Football;France;22
1900;Football;Sweden;14
1900;Football;Canada;13
1900;Football;Denmark;13
1900;Football;Netherlands;12
1900;Football;UK;11
1900;Football;Saint Vincent;1
1900;Golf;USA;72
1900;Golf;Canada;3
1900;Golf;UK;2
1900;Gymnastics;USA;108
1900;Gymnastics;UK;65
1900;Gymnastics;France;59
1900;Gymnastics;Sweden;38
1900;Gymnastics;Italy;32
1900;Gymnastics;Norway;31
1900;Gymnastics;Finland;31
1900;Gymnastics;Denmark;24
1900;Gymnastics;Netherlands;23
1900;Gymnastics;Germany;19
1900;Gymnastics;Hungary;6
1900;Gymnastics;Switzerland;2
1900;Gymnastics;Austria;2
1900;Gymnastics;Belgium;2
1900;Gymnastics;Canada;2
1900;Gymnastics;Czech Republic;2
1900;Hockey;UK;45
1900;Hockey;France;12
1900;Hockey;Germany;11
1900;Jeu De Paume;UK;9
1900;Jeu De Paume;USA;2
1900;Lacrosse;Canada;36
1900;Lacrosse;UK;12
