Kmstand;FzgMarke;Modell;Kraftstoff_diesel;Getriebe;Angebotsart;Preis;Leistung;Baujahr;Anzahl verkaufte Autos;
204000;Citroen;C1;Gasoline;Manual;Used;1.100,00 €;68;2011;44265;
100611;Lada;Priora;Gasoline;Manual;Used;1.190,00 €;98;2011;;
153000;Toyota;Aygo;Gasoline;Manual;Used;1.250,00 €;68;2012;Baujahr (Früh/Später);Der Datensatz umfasst 44.265 Gebrauchtfahrzeuge. Die Fahrzeuge stammen aus den Baujahren 2011 bis 2021. Da der Datensatz kein Verkaufsdatum enthält,kann der tatsächliche Verkaufszeitraum nicht bestimmt werden.
222000;Peugeot;206;Diesel;Manual;Used;1.299,00 €;68;2011;2011;
133000;Opel;Corsa;Gasoline;Manual;Used;1.300,00 €;69;2012;2021;
233567;Volkswagen;Touran;Diesel;Automatic;Used;1.396,00 €;140;2011;;
100524;Brilliance;BS4;LPG;Manual;Used;1.500,00 €;101;2011;;
157000;Fiat;Panda;Gasoline;Manual;Used;1.500,00 €;69;2011;;
140000;smart;forTwo;Diesel;Manual;Used;1.500,00 €;54;2014;;
170000;SEAT;Ibiza;Gasoline;Manual;Used;1.500,00 €;69;2012;;
118500;SEAT;Panda;Gasoline;Manual;Used;1.650,00 €;69;2011;;
138500;Peugeot;207;Gasoline;Manual;Used;1.650,00 €;120;2011;;
145000;Peugeot;206;Gasoline;Manual;Used;1.700,00 €;60;2011;Preis Durchschnitt:;16.553,63 €
123344;Skoda;Citigo;Gasoline;Manual;Used;1.746,00 €;68;2014;Preis Median:;10.990,00 €
172000;Peugeot;206;Gasoline;Manual;Used;1.799,00 €;75;2011;Preis MIN:;1.100,00 €
129555;Citroen;C1;Gasoline;Manual;Used;1.799,00 €;68;2011;Preis MAX:;1.199.900,00 €
174489;Peugeot;308;Gasoline;Manual;Used;1.800,00 €;120;2011;;
118000;Fiat;Fiorino;Diesel;Manual;Used;1.800,00 €;75;2011;;
91856;Volkswagen;Fox;Gasoline;Manual;Used;1.800,00 €;60;2011;;
175220;Skoda;Citigo;CNG;Manual;Used;1.832,00 €;68;2015;;
1;Others;Landwind;Gasoline;Manual;Used;1.850,00 €;97;2012;;
106441;Ford;Ka/Ka+;Gasoline;Manual;Used;1.850,00 €;69;2012;;
93040;Peugeot;107;Gasoline;Manual;Used;1.900,00 €;68;2011;;
192226;Ford;Fiesta;Gasoline;Manual;Used;1.900,00 €;101;2013;;
196730;Toyota;Yaris;Gasoline;Manual;Used;1.980,00 €;69;2011;;
236109;Peugeot;107;Gasoline;Manual;Used;1.990,00 €;68;2011;;
257200;Ford;Ka/Ka+;Diesel;Manual;Used;1.997,00 €;71;2012;;
194734;Nissan;Pixo;Gasoline;Manual;Used;1.999,00 €;68;2011;;
214000;Fiat;Panda;Gasoline;Manual;Used;1.999,00 €;69;2011;;
125000;Ford;Ka/Ka+;Diesel;Manual;Used;1.999,00 €;75;2011;;
265000;Fiat;Grande Punto;Gasoline;Manual;Used;1.999,00 €;69;2011;;
164000;Suzuki;Alto;Gasoline;Manual;Used;1.999,00 €;68;2011;;
117200;Volkswagen;Fox;Gasoline;Manual;Used;1.999,00 €;60;2011;;
190000;Volkswagen;up!;Gasoline;Manual;Used;2.000,00 €;60;2012;;Die meisten Fahrzeuge liegen im unteren Preisbereich.
195000;Ford;Focus;Ethanol;Manual;Used;2.000,00 €;125;2011;;Mit steigendem Preis nimmt die Anzahl der Fahrzeuge kontinuierlich ab.
144000;Toyota;Aygo;Gasoline;Manual;Used;2.100,00 €;68;2011;;Es gibt nur wenige Fahrzeuge mit sehr hohen Preisen.
155000;Renault;Twingo;Diesel;Manual;Used;2.100,00 €;75;2011;;
150454;Renault;Twingo;Gasoline;Manual;Used;2.100,00 €;58;2011;;
108628;Chevrolet;Spark;Gasoline;Manual;Used;2.170,00 €;68;2012;;
